,Acceleration,Aggression,Agility,Balance,Ball Control,Composure,Crossing,Curve,Dribbling,FK Accuracy,Finishing,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Heading Accuracy,ID,Interceptions,Jumping,Long Passing,Long Shots,Marking,Penalties,Positioning,Reactions,Short Passing,Shot Power,Sliding Tackle,Sprint Speed,Stamina,Standing Tackle,Strength,Vision,Volleys
0,92,48,90,95,96,97,77,90,97,92,95,6,11,15,14,8,71,158023,22,67,87,88,13,75,93,95,88,85,26,87,73,28,59,92,86
1,89,63,89,63,93,95,85,81,91,76,94,7,11,15,14,11,88,20801,29,95,77,92,22,85,95,96,83,94,23,91,92,31,80,85,88
2,94,56,96,82,95,92,75,82,96,84,88,9,9,15,15,11,62,190871,36,61,75,78,21,81,90,88,82,80,33,90,78,24,53,83,83
3,88,87,86,78,91,85,77,86,86,84,94,27,25,31,33,37,77,176580,41,69,64,86,30,85,92,93,83,87,38,77,89,45,83,84,88
4,56,29,51,35,48,70,15,14,30,11,13,91,90,95,91,89,25,167495,30,77,59,16,10,47,12,85,55,25,11,60,43,10,83,70,11
5,57,38,60,43,42,64,17,21,18,19,13,90,85,87,88,93,21,193080,30,67,51,12,13,40,12,90,50,31,13,58,40,21,64,68,13
6,78,73,82,79,90,86,92,85,86,83,83,15,13,5,10,13,54,192985,60,65,87,88,40,77,86,90,91,89,51,76,88,58,73,92,82
7,79,80,78,80,89,87,62,77,85,84,91,15,6,12,8,10,85,188545,39,84,65,84,25,88,91,91,85,88,19,79,79,42,84,78,89
8,93,54,93,93,93,89,81,83,94,79,84,11,12,6,8,8,60,183277,41,59,83,80,25,86,87,87,89,79,22,88,81,27,67,89,80
9,65,60,71,71,89,85,85,85,79,84,76,10,11,13,7,10,54,182521,81,32,93,90,67,73,79,89,90,87,69,66,77,82,74,88,82
10,62,69,64,58,81,91,64,65,68,53,55,15,6,10,5,6,89,178603,92,68,85,51,89,68,56,90,82,71,90,69,66,92,85,79,60
11,78,50,75,69,85,86,68,74,84,62,91,5,12,7,5,10,86,167664,20,79,59,82,12,70,92,88,75,88,18,80,72,22,85,74,88
12,75,84,79,60,84,80,66,73,61,67,60,11,8,9,7,11,91,155862,90,93,72,55,84,68,52,85,78,79,91,77,84,90,81,63,66
13,88,48,91,85,93,84,82,88,92,88,84,5,4,4,5,8,68,211110,32,75,75,88,14,86,84,84,87,82,20,84,83,20,65,86,88
14,43,34,67,49,16,55,13,13,12,14,11,85,91,77,87,88,15,200389,19,76,26,12,14,11,11,85,29,22,18,60,41,12,78,55,13
15,46,23,61,45,23,52,14,19,13,20,14,86,90,72,86,88,13,192119,15,68,35,17,11,27,13,80,33,36,16,52,38,18,70,44,12
16,75,62,93,94,92,84,78,79,86,77,71,13,9,7,14,9,55,177003,78,67,84,82,66,80,79,88,92,73,73,71,82,80,58,90,74
17,72,55,92,89,91,92,83,82,87,76,73,1,1,1,1,1,54,168542,46,66,81,73,27,73,86,85,92,71,29,65,81,50,56,93,80
18,90,63,86,91,89,90,70,82,89,72,91,13,15,6,11,14,74,153079,24,80,63,83,13,83,91,89,81,88,12,83,77,20,76,83,85
19,68,92,59,64,57,82,58,60,58,31,33,3,3,2,4,3,84,138956,88,89,59,49,92,50,28,82,59,78,90,78,68,92,91,50,45
20,49,38,55,49,28,70,13,20,26,13,15,89,88,74,90,84,13,1179,28,75,35,13,10,22,12,80,37,39,11,43,39,11,69,50,17
21,82,90,83,90,79,85,68,49,79,49,65,15,12,10,7,10,54,215914,91,79,81,69,75,54,71,87,85,71,85,80,95,89,77,79,56
22,72,76,73,62,84,89,75,75,80,68,92,8,10,11,14,11,83,202126,35,70,80,85,41,86,92,90,79,87,38,75,88,36,87,80,77
23,75,78,76,63,89,87,80,84,87,82,73,5,6,2,4,3,75,195864,70,85,88,82,64,76,83,84,87,90,68,78,91,70,91,88,85
24,87,69,90,80,86,86,82,84,87,75,88,14,8,14,13,14,86,194765,35,87,75,82,32,72,91,90,81,81,28,86,78,30,64,77,87
25,77,46,80,82,89,87,87,86,84,86,81,9,14,7,7,6,52,190460,56,55,86,87,39,67,83,86,90,84,22,74,91,57,57,90,74
