,Unnamed: 0,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Position
0,0,190362,T. Pukki,28,https://cdn.sofifa.org/players/4/19/190362.png,Finland,https://cdn.sofifa.org/flags/17.png,76,76,Norwich City,https://cdn.sofifa.org/teams/2/light/1792.png,€8M,€32K,1772,ST|CF
1,1,229558,D. Upamecano,19,https://cdn.sofifa.org/players/4/19/229558.png,France,https://cdn.sofifa.org/flags/18.png,77,88,RB Leipzig,https://cdn.sofifa.org/teams/2/light/112172.png,€13M,€18K,1708,CB
2,2,233064,M. Mount,19,https://cdn.sofifa.org/players/4/19/233064.png,England,https://cdn.sofifa.org/flags/14.png,74,86,Derby County,https://cdn.sofifa.org/teams/2/light/91.png,€10M,€34K,1836,CAM|CM|On Loan
3,3,232381,Wesley,21,https://cdn.sofifa.org/players/4/19/232381.png,Brazil,https://cdn.sofifa.org/flags/54.png,78,85,Club Brugge KV,https://cdn.sofifa.org/teams/2/light/231.png,€15M,€21K,1863,ST
4,4,231352,T. Abraham,20,https://cdn.sofifa.org/players/4/19/231352.png,England,https://cdn.sofifa.org/flags/14.png,75,85,Aston Villa,https://cdn.sofifa.org/teams/2/light/2.png,€11M,€64K,1702,ST|On Loan
5,5,233049,J. Sancho,18,https://cdn.sofifa.org/players/4/19/233049.png,England,https://cdn.sofifa.org/flags/14.png,80,91,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,€23.5M,€28K,1851,RM|LM
6,6,235945,Marc Roca,21,https://cdn.sofifa.org/players/4/19/235945.png,Spain,https://cdn.sofifa.org/flags/45.png,77,87,RCD Espanyol,https://cdn.sofifa.org/teams/2/light/452.png,€12.5M,€18K,1893,CDM|CM
7,7,232104,D. James,20,https://cdn.sofifa.org/players/4/19/232104.png,Wales,https://cdn.sofifa.org/flags/50.png,70,82,Swansea City,https://cdn.sofifa.org/teams/2/light/1960.png,€3.2M,€12K,1657,LM|LW
8,8,230767,Renato Sanches,20,https://cdn.sofifa.org/players/4/19/230767.png,Portugal,https://cdn.sofifa.org/flags/38.png,75,84,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€10M,€41K,2102,CM
9,9,226110,N. Pépé,23,https://cdn.sofifa.org/players/4/19/226110.png,Ivory Coast,https://cdn.sofifa.org/flags/108.png,82,88,LOSC Lille,https://cdn.sofifa.org/teams/2/light/65.png,€30.5M,€41K,1996,RM|RW|ST
